
London	51:34:57  0:-13:-28
	Sunrise	Noon	Shkia	Candles	Motzei Shabbat
 1/Jan	08:08	12:04	15:59	15:44	16:53
 4/Jan	08:08	12:05	16:02	15:47	16:56
 7/Jan	08:07	12:06	16:06	15:51	17:00
10/Jan	08:05	12:08	16:10	15:55	17:03
13/Jan	08:03	12:09	16:14	15:59	17:07
16/Jan	08:01	12:10	16:19	16:04	17:11
19/Jan	08:00	12:13	16:26	16:11	17:18
22/Jan	07:55	12:12	16:29	16:14	17:20
25/Jan	07:51	12:13	16:34	16:19	17:25
28/Jan	07:47	12:13	16:39	16:24	17:30
31/Jan	07:43	12:14	16:45	16:30	17:34
 3/Feb	07:38	12:14	16:50	16:35	17:39
 6/Feb	07:33	12:14	16:56	16:41	17:45
 9/Feb	04:47	12:15	19:42	19:27	20:36
12/Feb	07:22	12:15	17:07	16:52	17:55
15/Feb	07:17	12:15	17:13	16:58	18:00
18/Feb	07:11	12:14	17:18	17:03	18:05
21/Feb	07:05	12:14	17:24	17:09	18:11
24/Feb	06:58	12:14	17:29	17:14	18:16
27/Feb	06:52	12:13	17:35	17:20	18:21
 1/Mar	06:47	12:13	17:39	17:24	18:25
 4/Mar	06:40	12:12	17:44	17:29	18:30
 7/Mar	06:34	12:12	17:50	17:35	18:36
10/Mar	06:27	12:11	17:55	17:40	18:41
13/Mar	06:20	12:10	18:00	17:45	18:46
16/Mar	06:13	12:09	18:06	17:51	18:51
19/Mar	05:58	12:08	18:19	18:04	19:05
22/Mar	05:59	12:08	18:16	18:01	19:02
25/Mar	05:52	12:07	18:21	18:06	19:08
28/Mar	06:45	13:06	19:26	19:11	20:13
31/Mar	06:38	13:05	19:32	19:17	20:18
 3/Apr	06:31	13:04	19:37	19:22	20:24
 6/Apr	06:24	13:03	19:42	19:27	20:29
 9/Apr	06:17	13:02	19:47	19:32	20:35
12/Apr	06:10	13:01	19:52	19:37	20:41
15/Apr	06:03	13:00	19:57	19:42	20:46
18/Apr	05:57	13:00	20:03	19:48	20:53
21/Apr	05:51	12:59	20:08	19:53	20:59
24/Apr	05:44	12:59	20:13	19:58	21:04
27/Apr	05:38	12:58	20:18	20:03	21:10
30/Apr	05:32	12:58	20:23	20:08	21:16
 3/May	05:26	12:57	20:28	20:13	21:23
 6/May	05:21	12:57	20:33	20:18	21:29
 9/May	05:15	12:57	20:38	20:23	21:35
12/May	05:10	12:57	20:43	20:28	21:41
15/May	05:06	12:57	20:48	20:33	21:47
18/May	05:01	12:57	20:52	20:37	21:53
21/May	04:57	12:57	20:57	20:42	21:58
24/May	04:53	12:57	21:01	20:46	22:04
27/May	04:49	12:57	21:05	20:50	22:09
