
Umea, Sweden	63:50:0  20:15:0
	Sunrise	Noon	Shkia	Candles	Motzei Shabbat
 1/Jan	09:37	11:42	13:47	13:32	11:42
 4/Jan	09:33	11:43	13:53	13:38	11:43
 7/Jan	09:29	11:44	14:00	13:45	11:44
10/Jan	09:23	11:46	14:08	13:53	11:46
13/Jan	09:17	11:47	14:17	14:02	11:47
16/Jan	09:10	11:48	14:26	14:11	11:48
19/Jan	09:04	11:51	14:38	14:23	11:51
22/Jan	08:54	11:50	14:46	14:31	11:50
25/Jan	08:46	11:51	14:56	14:41	11:51
28/Jan	08:37	11:51	15:06	14:51	11:51
31/Jan	08:27	11:52	15:16	15:01	11:52
 3/Feb	08:18	11:52	15:27	15:12	16:43
 6/Feb	08:08	11:53	15:37	15:22	16:52
 9/Feb	03:24	11:53	20:22	20:07	22:09
12/Feb	07:48	11:53	15:57	15:42	17:09
15/Feb	07:39	11:53	16:07	15:52	17:18
18/Feb	07:28	11:53	16:17	16:02	17:27
21/Feb	07:18	11:52	16:27	16:12	17:35
24/Feb	07:07	11:52	16:37	16:22	17:44
27/Feb	06:57	11:51	16:46	16:31	17:53
 1/Mar	06:49	11:51	16:53	16:38	18:00
 4/Mar	06:38	11:50	17:03	16:48	18:09
 7/Mar	06:27	11:50	17:12	16:57	18:18
10/Mar	06:16	11:49	17:22	17:07	18:27
13/Mar	06:06	11:48	17:31	17:16	18:36
16/Mar	05:55	11:47	17:40	17:25	18:46
19/Mar	05:30	11:47	18:03	17:48	19:10
22/Mar	05:33	11:46	17:58	17:43	19:05
25/Mar	05:22	11:45	18:08	17:53	19:15
28/Mar	06:11	12:44	19:17	19:02	20:25
31/Mar	06:00	12:43	19:26	19:11	20:35
 3/Apr	05:49	12:42	19:35	19:20	20:46
 6/Apr	05:38	12:41	19:44	19:29	20:57
 9/Apr	05:27	12:40	19:53	19:38	21:08
12/Apr	05:16	12:40	20:03	19:48	21:20
15/Apr	05:05	12:38	20:12	19:57	21:31
18/Apr	04:54	12:38	20:22	20:07	21:45
21/Apr	04:43	12:38	20:32	20:17	21:58
24/Apr	04:32	12:37	20:41	20:26	22:12
27/Apr	04:22	12:36	20:51	20:36	22:28
30/Apr	04:11	12:36	21:01	20:46	22:45
 3/May	04:00	12:35	21:11	20:56	23:05
 6/May	03:49	12:35	21:21	21:06	23:30
 9/May	03:38	12:35	21:32	21:17	00:11
12/May	03:28	12:35	21:42	21:27	12:35
15/May	03:17	12:35	21:52	21:37	12:35
18/May	03:07	12:35	22:03	21:48	12:35
21/May	02:57	12:35	22:13	21:58	12:35
24/May	02:47	12:35	22:24	22:09	12:35
27/May	02:37	12:35	22:34	22:19	12:35
30/May	02:27	12:36	22:44	22:29	12:36
 2/Jun	02:19	12:36	22:54	22:39	12:36
 5/Jun	02:10	12:37	23:03	22:48	12:37
 8/Jun	02:03	12:37	23:12	22:57	12:37
11/Jun	01:56	12:38	23:20	23:05	12:38
14/Jun	01:50	12:38	23:27	23:12	12:38
17/Jun	01:45	12:38	23:30	23:15	12:38
20/Jun	01:45	12:40	23:35	23:20	12:40
23/Jun	01:45	12:40	23:35	23:20	12:40
26/Jun	01:48	12:41	23:34	23:19	12:41
29/Jun	01:52	12:42	23:31	23:16	12:42
 2/Jul	01:59	12:42	23:26	23:11	12:42
 5/Jul	02:06	12:43	23:19	23:04	12:43
 8/Jul	02:15	12:43	23:12	22:57	12:43
11/Jul	02:24	12:44	23:03	22:48	12:44
14/Jul	02:34	12:44	22:54	22:39	12:44
17/Jul	02:44	12:44	22:45	22:30	12:44
20/Jul	02:54	12:45	22:36	22:21	12:45
23/Jul	03:04	12:45	22:25	22:10	12:45
26/Jul	03:15	12:45	22:15	22:00	12:45
29/Jul	03:25	12:45	22:05	21:50	12:45
 1/Aug	03:35	12:45	21:54	21:39	12:45
 4/Aug	03:45	12:45	21:44	21:29	12:45
 7/Aug	03:55	12:44	21:33	21:18	23:47
10/Aug	04:05	12:44	21:22	21:07	23:20
13/Aug	04:15	12:43	21:12	20:57	22:59
16/Aug	04:25	12:43	21:01	20:46	22:40
19/Aug	04:35	12:42	20:50	20:35	22:23
22/Aug	02:50	12:42	22:33	22:18	12:42
25/Aug	04:54	12:41	20:28	20:13	21:52
28/Aug	05:03	12:40	20:17	20:02	21:38
31/Aug	05:11	12:38	20:05	19:50	21:23
 3/Sep	05:21	12:38	19:55	19:40	21:10
 6/Sep	05:30	12:37	19:44	19:29	20:57
 9/Sep	05:39	12:36	19:33	19:18	20:45
12/Sep	05:48	12:35	19:22	19:07	20:32
15/Sep	05:57	12:34	19:11	18:56	20:20
18/Sep	06:06	12:33	19:00	18:45	20:08
21/Sep	06:14	12:32	18:49	18:34	19:56
24/Sep	06:05	12:31	18:56	18:41	20:04
27/Sep	06:32	12:30	18:27	18:12	19:33
30/Sep	06:41	12:29	18:16	18:01	19:22
 3/Oct	06:50	12:28	18:06	17:51	19:11
 6/Oct	06:59	12:27	17:55	17:40	19:00
 9/Oct	07:08	12:26	17:44	17:29	18:50
12/Oct	07:17	12:25	17:33	17:18	18:39
15/Oct	07:26	12:24	17:23	17:08	18:29
18/Oct	07:36	12:24	17:12	16:57	18:19
21/Oct	07:45	12:23	17:02	16:47	18:10
24/Oct	07:55	12:23	16:51	16:36	18:00
